service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JANV2026-32-Dimanche-34-32,0,0,0,0,0,0,1,20260111,20260308
JANV2026-32-Samedi-34-32,0,0,0,0,0,1,0,20260110,20260307
JANV2026-38-Samedi-41-38,0,0,0,0,0,1,0,20260110,20260307
JANV2026-38-Dimanche-40-38,0,0,0,0,0,0,1,20260111,20260308
JANV2026-70-Dimanche-34-70,0,0,0,0,0,0,1,20260111,20260308
JANV2026-70-Samedi-34-70,0,0,0,0,0,1,0,20260110,20260307
PROJET2024-72-Samedi-74-72,0,0,0,0,0,1,0,20260110,20260307
PROJET2024-72-Dimanche-74-72,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-59-Samedi-66-59,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-59-Dimanche-66-59,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-51-Samedi-10-51,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-51-Semaine-13-51,1,1,1,1,1,0,0,20260216,20260227
PROJET2026-51-Dimanche-10-51,0,0,0,0,0,0,1,20260111,20260308
JANV2026-35-Samedi-36-35,0,0,0,0,0,1,0,20260110,20260307
JANV2026-35-Dimanche-34-35,0,0,0,0,0,0,1,20260111,20260308
PROJET2025-41-Semaine-06-41,1,1,1,1,1,0,0,20260216,20260227
PROJET2025-47-Semaine-11-47,1,1,1,1,1,0,0,20260216,20260227
PROJET2025-47-Mercredi-11-47,0,0,1,0,0,0,0,20260107,20260304
PROJET2025-47-Samedi-10-47,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-R-Mercredi-18-R,0,0,1,0,0,0,0,20260107,20260304
PROJET2026-R-Semaine-20-0000100-R,0,0,0,0,1,0,0,20260109,20260306
JANV2026-07-Mercredi-42-07,0,0,1,0,0,0,0,20260107,20260304
JANV2026-07-Samedi-37-07,0,0,0,0,0,1,0,20260110,20260307
JANV2026-07-Dimanche-38-07,0,0,0,0,0,0,1,20260111,20260308
chouette:TimeTable:b255eb5e-1878-4104-93cf-359b6bce1943:LOC,1,0,0,0,0,0,0,20260112,20260308
chouette:TimeTable:6ebc9520-17f0-45b5-881e-124138519994:LOC,0,1,1,0,1,1,0,20260107,20260307
chouette:TimeTable:622ca095-3462-4df6-b24a-4e11c5cb506e:LOC,0,0,0,1,0,0,0,20260108,20260305
JANV2026-36-Samedi-33-36,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-41-Samedi-05-41,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-76-Semaine-93-0010000-76,0,0,1,0,0,0,0,20260107,20260304
PROJET2026-76-Semaine-94-76,1,1,1,1,1,0,0,20260216,20260227
PROJET2026-76-Dimanche-68-76,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-76-Samedi-90-76,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-69-Samedi-11-69,0,0,0,0,0,1,0,20260110,20260307
PROJET2026-43-Semaine-20-43,1,1,1,1,1,0,0,20260216,20260227
PROJET2026-43-Semaine-18-1101000-43,1,1,0,1,0,0,0,20260108,20260305
PROJET2026-43-Semaine-19-0000100-43,0,0,0,0,1,0,0,20260109,20260306
PROJET2026-43-Mercredi-18-43,0,0,1,0,0,0,0,20260107,20260304
JANV2026-11-Samedi-37-11,0,0,0,0,0,1,0,20260110,20260307
JANV2026-11-Dimanche-39-11,0,0,0,0,0,0,1,20260111,20260308
PROJET2024-75-Semaine-88-75,1,1,1,1,1,0,0,20260216,20260227
PROJET2024-75-Mercredi-87-75,0,0,1,0,0,0,0,20260107,20260304
PROJET2024-75-Samedi-77-75,0,0,0,0,0,1,0,20260110,20260307
PROJET2024-75-Dimanche-69-75,0,0,0,0,0,0,1,20260111,20260308
PROJET2026-52-Samedi-20-52,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-85-Mercredi-06-85,0,0,1,0,0,0,0,20260107,20260304
JANV2026-21-Dimanche-38-21,0,0,0,0,0,0,1,20260111,20260308
JANV2026-21-Samedi-36-21,0,0,0,0,0,1,0,20260110,20260307
PROJET2025-73-Dimanche-21-73,0,0,0,0,0,0,1,20260111,20260301
PROJET2025-73-Samedi-21-73,0,0,0,0,0,1,0,20260110,20260228
