service_id,date,exception_type
PROJET2026-V-L-Ma-J-V-06-V,20260216,2
PROJET2026-V-L-Ma-J-V-06-V,20260217,2
PROJET2026-V-L-Ma-J-V-06-V,20260219,2
PROJET2026-V-L-Ma-J-V-06-V,20260220,2
PROJET2026-V-L-Ma-J-V-06-V,20260223,2
PROJET2026-V-L-Ma-J-V-06-V,20260224,2
PROJET2026-V-L-Ma-J-V-06-V,20260226,2
PROJET2026-V-L-Ma-J-V-06-V,20260227,2
PROJET2025-91-Semaine-31-0111100-91,20260217,2
PROJET2025-91-Semaine-31-0111100-91,20260218,2
PROJET2025-91-Semaine-31-0111100-91,20260219,2
PROJET2025-91-Semaine-31-0111100-91,20260220,2
PROJET2025-91-Semaine-31-0111100-91,20260224,2
PROJET2025-91-Semaine-31-0111100-91,20260225,2
PROJET2025-91-Semaine-31-0111100-91,20260226,2
PROJET2025-91-Semaine-31-0111100-91,20260227,2
JANV2026-L3-Semaine-10-L3,20260112,2
JANV2026-L3-Semaine-10-L3,20260113,2
JANV2026-L3-Semaine-10-L3,20260114,2
JANV2026-L3-Semaine-10-L3,20260115,2
JANV2026-L3-Semaine-10-L3,20260119,2
JANV2026-L3-Semaine-10-L3,20260120,2
JANV2026-L3-Semaine-10-L3,20260121,2
JANV2026-L3-Semaine-10-L3,20260122,2
JANV2026-L3-Semaine-10-L3,20260126,2
JANV2026-L3-Semaine-10-L3,20260127,2
JANV2026-L3-Semaine-10-L3,20260128,2
JANV2026-L3-Semaine-10-L3,20260129,2
JANV2026-L3-Semaine-10-L3,20260202,2
JANV2026-L3-Semaine-10-L3,20260203,2
JANV2026-L3-Semaine-10-L3,20260204,2
JANV2026-L3-Semaine-10-L3,20260205,2
JANV2026-L3-Semaine-10-L3,20260209,2
JANV2026-L3-Semaine-10-L3,20260210,2
JANV2026-L3-Semaine-10-L3,20260211,2
JANV2026-L3-Semaine-10-L3,20260212,2
JANV2026-L3-Semaine-10-L3,20260216,2
JANV2026-L3-Semaine-10-L3,20260217,2
JANV2026-L3-Semaine-10-L3,20260218,2
JANV2026-L3-Semaine-10-L3,20260219,2
JANV2026-L3-Semaine-10-L3,20260220,2
JANV2026-L3-Semaine-10-L3,20260223,2
JANV2026-L3-Semaine-10-L3,20260224,2
JANV2026-L3-Semaine-10-L3,20260225,2
JANV2026-L3-Semaine-10-L3,20260226,2
JANV2026-L3-Semaine-10-L3,20260227,2
JANV2026-L3-Semaine-10-L3,20260302,2
JANV2026-L3-Semaine-10-L3,20260303,2
JANV2026-L3-Semaine-10-L3,20260304,2
JANV2026-L3-Semaine-10-L3,20260305,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260113,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260114,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260115,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260116,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260120,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260121,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260122,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260123,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260127,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260128,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260129,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260130,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260203,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260204,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260205,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260206,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260210,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260211,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260212,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260213,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260217,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260218,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260219,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260220,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260221,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260224,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260225,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260226,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260227,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260228,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260303,2
chouette:TimeTable:b53d44c6-0600-4bff-befb-e9c7a53a42a6:LOC,20260304,2
